account_code,account_name,account_type,parent_code,normal_balance,active,is_permanent
1,ASET,ASSET,,DEBIT,true,true
1.1,Aset Lancar,ASSET,1,DEBIT,true,true
1.1.01,Kas,ASSET,1.1,DEBIT,true,true
1.1.02,Bank BCA,ASSET,1.1,DEBIT,true,true
1.1.03,Bank Mandiri,ASSET,1.1,DEBIT,true,true
1.1.10,Piutang SPP Mahasiswa,ASSET,1.1,DEBIT,true,true
1.1.11,Piutang Uang Pangkal,ASSET,1.1,DEBIT,true,true
1.1.12,Piutang Biaya Praktikum,ASSET,1.1,DEBIT,true,true
1.1.13,Piutang Wisuda,ASSET,1.1,DEBIT,true,true
1.1.15,Beban Dibayar Dimuka,ASSET,1.1,DEBIT,true,true
1.2,Aset Tetap,ASSET,1,DEBIT,true,true
1.2.01,Tanah,ASSET,1.2,DEBIT,true,true
1.2.02,Gedung Kampus,ASSET,1.2,DEBIT,true,true
1.2.03,Akum. Penyusutan Gedung,ASSET,1.2,CREDIT,true,true
1.2.05,Peralatan Laboratorium,ASSET,1.2,DEBIT,true,true
1.2.06,Akum. Penyusutan Lab,ASSET,1.2,CREDIT,true,true
1.2.07,Komputer & Perangkat IT,ASSET,1.2,DEBIT,true,true
1.2.08,Akum. Penyusutan Komputer,ASSET,1.2,CREDIT,true,true
1.2.09,Peralatan Kantor,ASSET,1.2,DEBIT,true,true
1.2.10,Akum. Penyusutan Peralatan Kantor,ASSET,1.2,CREDIT,true,true
1.2.11,Kendaraan,ASSET,1.2,DEBIT,true,true
1.2.12,Akum. Penyusutan Kendaraan,ASSET,1.2,CREDIT,true,true
2,LIABILITAS,LIABILITY,,CREDIT,true,true
2.1,Liabilitas Jangka Pendek,LIABILITY,2,CREDIT,true,true
2.1.01,Hutang Usaha,LIABILITY,2.1,CREDIT,true,true
2.1.02,Hutang Pajak,LIABILITY,2.1,CREDIT,true,true
2.1.03,Hutang PPh 21,LIABILITY,2.1,CREDIT,true,true
2.1.05,Uang SPP Diterima Dimuka,LIABILITY,2.1,CREDIT,true,true
2.1.10,Hutang Gaji Dosen,LIABILITY,2.1,CREDIT,true,true
2.1.11,Hutang Gaji Karyawan,LIABILITY,2.1,CREDIT,true,true
2.1.12,Hutang Honorarium,LIABILITY,2.1,CREDIT,true,true
2.1.13,Hutang BPJS,LIABILITY,2.1,CREDIT,true,true
2.2,Liabilitas Jangka Panjang,LIABILITY,2,CREDIT,true,true
2.2.01,Pinjaman Bank Jangka Panjang,LIABILITY,2.2,CREDIT,true,true
3,EKUITAS,EQUITY,,CREDIT,true,true
3.1,Modal,EQUITY,3,CREDIT,true,true
3.1.01,Modal Yayasan,EQUITY,3.1,CREDIT,true,true
3.2,Laba Ditahan,EQUITY,3,CREDIT,true,true
3.2.01,Laba Ditahan Tahun Lalu,EQUITY,3.2,CREDIT,true,true
3.2.02,Laba Tahun Berjalan,EQUITY,3.2,CREDIT,true,true
4,PENDAPATAN,REVENUE,,CREDIT,true,false
4.1,Pendapatan Operasional,REVENUE,4,CREDIT,true,false
4.1.01,Pendapatan SPP,REVENUE,4.1,CREDIT,true,false
4.1.02,Pendapatan Uang Pangkal,REVENUE,4.1,CREDIT,true,false
4.1.03,Pendapatan Biaya Praktikum,REVENUE,4.1,CREDIT,true,false
4.1.04,Pendapatan Wisuda,REVENUE,4.1,CREDIT,true,false
4.1.05,Pendapatan Ujian,REVENUE,4.1,CREDIT,true,false
4.1.06,Pendapatan Sertifikasi,REVENUE,4.1,CREDIT,true,false
4.2,Pendapatan Lain-Lain,REVENUE,4,CREDIT,true,false
4.2.01,Pendapatan Hibah,REVENUE,4.2,CREDIT,true,false
4.2.02,Pendapatan Donasi,REVENUE,4.2,CREDIT,true,false
4.2.03,Pendapatan Jasa Giro,REVENUE,4.2,CREDIT,true,false
5,BEBAN,EXPENSE,,DEBIT,true,false
5.1,Beban Akademik,EXPENSE,5,DEBIT,true,false
5.1.01,Beban Gaji Dosen Tetap,EXPENSE,5.1,DEBIT,true,false
5.1.02,Beban Honorarium Dosen Tidak Tetap,EXPENSE,5.1,DEBIT,true,false
5.1.03,Beban Tunjangan Dosen,EXPENSE,5.1,DEBIT,true,false
5.1.04,Beban BPJS Dosen,EXPENSE,5.1,DEBIT,true,false
5.1.05,Beban PPh 21 Dosen,EXPENSE,5.1,DEBIT,true,false
5.1.10,Beban Bahan Praktikum,EXPENSE,5.1,DEBIT,true,false
5.1.11,Beban Pemeliharaan Lab,EXPENSE,5.1,DEBIT,true,false
5.1.12,Beban Perpustakaan,EXPENSE,5.1,DEBIT,true,false
5.2,Beban Administratif,EXPENSE,5,DEBIT,true,false
5.2.01,Beban Gaji Karyawan,EXPENSE,5.2,DEBIT,true,false
5.2.02,Beban Tunjangan Karyawan,EXPENSE,5.2,DEBIT,true,false
5.2.03,Beban BPJS Karyawan,EXPENSE,5.2,DEBIT,true,false
5.2.04,Beban PPh 21 Karyawan,EXPENSE,5.2,DEBIT,true,false
5.2.10,Beban ATK,EXPENSE,5.2,DEBIT,true,false
5.2.11,Beban Listrik,EXPENSE,5.2,DEBIT,true,false
5.2.12,Beban Air,EXPENSE,5.2,DEBIT,true,false
5.2.13,Beban Telepon & Internet,EXPENSE,5.2,DEBIT,true,false
5.2.14,Beban Kebersihan,EXPENSE,5.2,DEBIT,true,false
5.2.15,Beban Keamanan,EXPENSE,5.2,DEBIT,true,false
5.2.16,Beban Transportasi,EXPENSE,5.2,DEBIT,true,false
5.2.17,Beban Konsumsi Rapat,EXPENSE,5.2,DEBIT,true,false
5.2.20,Beban Penyusutan,EXPENSE,5.2,DEBIT,true,false
5.2.21,Beban Pemeliharaan Gedung,EXPENSE,5.2,DEBIT,true,false
5.2.22,Beban Pemeliharaan Kendaraan,EXPENSE,5.2,DEBIT,true,false
5.3,Beban Kemahasiswaan,EXPENSE,5,DEBIT,true,false
5.3.01,Beban Beasiswa Prestasi,EXPENSE,5.3,DEBIT,true,false
5.3.02,Beban Beasiswa Tidak Mampu,EXPENSE,5.3,DEBIT,true,false
5.3.03,Beban Kegiatan Mahasiswa,EXPENSE,5.3,DEBIT,true,false
5.3.04,Beban Wisuda,EXPENSE,5.3,DEBIT,true,false
5.4,Beban Lain-Lain,EXPENSE,5,DEBIT,true,false
5.4.01,Beban Admin Bank,EXPENSE,5.4,DEBIT,true,false
