account_code,account_name,account_type,parent_code,normal_balance,active,is_permanent
1,ASET,ASSET,,DEBIT,true,true
1.1,Aset Lancar,ASSET,1,DEBIT,true,true
1.1.01,Kas,ASSET,1.1,DEBIT,true,true
1.1.02,Bank BCA,ASSET,1.1,DEBIT,true,true
1.1.03,Bank Mandiri,ASSET,1.1,DEBIT,true,true
1.1.10,Piutang Usaha,ASSET,1.1,DEBIT,true,true
1.1.20,Persediaan Bahan Baku,ASSET,1.1,DEBIT,true,true
1.1.21,Persediaan Barang Jadi,ASSET,1.1,DEBIT,true,true
1.1.22,Persediaan Dalam Proses,ASSET,1.1,DEBIT,true,true
1.1.25,PPN Masukan,ASSET,1.1,DEBIT,true,true
1.2,Aset Tetap,ASSET,1,DEBIT,true,true
1.2.01,Peralatan Kopi,ASSET,1.2,DEBIT,true,true
1.2.02,Akum. Penyusutan Peralatan Kopi,ASSET,1.2,CREDIT,true,true
1.2.03,Peralatan Bakery,ASSET,1.2,DEBIT,true,true
1.2.04,Akum. Penyusutan Peralatan Bakery,ASSET,1.2,CREDIT,true,true
1.2.05,Komputer & POS,ASSET,1.2,DEBIT,true,true
1.2.06,Akum. Penyusutan Komputer,ASSET,1.2,CREDIT,true,true
1.2.07,Furniture & Fixtures,ASSET,1.2,DEBIT,true,true
1.2.08,Akum. Penyusutan Furniture,ASSET,1.2,CREDIT,true,true
2,LIABILITAS,LIABILITY,,CREDIT,true,true
2.1,Liabilitas Jangka Pendek,LIABILITY,2,CREDIT,true,true
2.1.01,Hutang Usaha,LIABILITY,2.1,CREDIT,true,true
2.1.02,Hutang Supplier,LIABILITY,2.1,CREDIT,true,true
2.1.03,Hutang PPN,LIABILITY,2.1,CREDIT,true,true
2.1.10,Hutang Gaji,LIABILITY,2.1,CREDIT,true,true
2.1.11,Hutang Reimbursement,LIABILITY,2.1,CREDIT,true,true
2.1.13,Hutang BPJS,LIABILITY,2.1,CREDIT,true,true
2.1.14,Hutang PPh 21,LIABILITY,2.1,CREDIT,true,true
3,EKUITAS,EQUITY,,CREDIT,true,true
3.1,Modal,EQUITY,3,CREDIT,true,true
3.1.01,Modal Pemilik,EQUITY,3.1,CREDIT,true,true
3.2,Laba Ditahan,EQUITY,3,CREDIT,true,true
3.2.01,Laba Tahun Berjalan,EQUITY,3.2,CREDIT,true,true
3.2.02,Laba Tahun Lalu,EQUITY,3.2,CREDIT,true,true
4,PENDAPATAN,REVENUE,,CREDIT,true,false
4.1,Pendapatan Usaha,REVENUE,4,CREDIT,true,false
4.1.01,Pendapatan Penjualan Minuman,REVENUE,4.1,CREDIT,true,false
4.1.02,Pendapatan Penjualan Roti & Kue,REVENUE,4.1,CREDIT,true,false
5,HARGA POKOK PENJUALAN,EXPENSE,,DEBIT,true,false
5.1,HPP Minuman,EXPENSE,5,DEBIT,true,false
5.1.01,HPP Kopi,EXPENSE,5.1,DEBIT,true,false
5.2,HPP Roti & Kue,EXPENSE,5,DEBIT,true,false
5.2.01,HPP Roti,EXPENSE,5.2,DEBIT,true,false
5.2.02,HPP Kue,EXPENSE,5.2,DEBIT,true,false
6,BEBAN OPERASIONAL,EXPENSE,,DEBIT,true,false
6.1,Beban Gaji & Upah,EXPENSE,6,DEBIT,true,false
6.1.01,Gaji Barista,EXPENSE,6.1,DEBIT,true,false
6.1.02,Gaji Baker,EXPENSE,6.1,DEBIT,true,false
6.1.03,Gaji Kasir,EXPENSE,6.1,DEBIT,true,false
6.1.04,BPJS Kesehatan,EXPENSE,6.1,DEBIT,true,false
6.1.05,BPJS Ketenagakerjaan,EXPENSE,6.1,DEBIT,true,false
6.2,Beban Operasional Lainnya,EXPENSE,6,DEBIT,true,false
6.2.01,Beban Sewa Tempat,EXPENSE,6.2,DEBIT,true,false
6.2.02,Beban Listrik,EXPENSE,6.2,DEBIT,true,false
6.2.03,Beban Air,EXPENSE,6.2,DEBIT,true,false
6.2.04,Beban Gas,EXPENSE,6.2,DEBIT,true,false
6.2.05,Beban Telepon & Internet,EXPENSE,6.2,DEBIT,true,false
6.2.06,Beban Kemasan & Packaging,EXPENSE,6.2,DEBIT,true,false
6.2.07,Beban Perlengkapan Toko,EXPENSE,6.2,DEBIT,true,false
6.2.08,Beban Kebersihan,EXPENSE,6.2,DEBIT,true,false
6.2.09,Beban Marketing,EXPENSE,6.2,DEBIT,true,false
6.2.10,Beban Administrasi Bank,EXPENSE,6.2,DEBIT,true,false
6.2.11,Beban Potongan Platform,EXPENSE,6.2,DEBIT,true,false
6.2.12,Beban Operasional Lainnya,EXPENSE,6.2,DEBIT,true,false
6.3,Beban Penyusutan,EXPENSE,6,DEBIT,true,false
6.3.01,Beban Penyusutan Peralatan,EXPENSE,6.3,DEBIT,true,false
6.3.02,Beban Penyusutan Furniture,EXPENSE,6.3,DEBIT,true,false
7,PENDAPATAN LAIN-LAIN,REVENUE,,CREDIT,true,false
7.1,Pendapatan Lain-lain,REVENUE,7,CREDIT,true,false
7.1.01,Pendapatan Bunga,REVENUE,7.1,CREDIT,true,false
8,BEBAN LAIN-LAIN,EXPENSE,,DEBIT,true,false
8.1,Beban Lain-lain,EXPENSE,8,DEBIT,true,false
8.1.01,Beban Bunga,EXPENSE,8.1,DEBIT,true,false
8.1.02,Beban Denda,EXPENSE,8.1,DEBIT,true,false
8.1.03,Beban PPh Final UMKM,EXPENSE,8.1,DEBIT,true,false
