account_code,account_name,account_type,parent_code,normal_balance,active,is_permanent
1,ASET,ASSET,,DEBIT,true,true
1.1,Aset Lancar,ASSET,1,DEBIT,true,true
1.1.01,Kas Besar,ASSET,1.1,DEBIT,true,true
1.1.02,Kas Kecil (Petty Cash),ASSET,1.1,DEBIT,true,true
1.1.03,Bank BCA,ASSET,1.1,DEBIT,true,true
1.1.04,Bank Mandiri,ASSET,1.1,DEBIT,true,true
1.1.05,Bank BNI,ASSET,1.1,DEBIT,true,true
1.1.10,Piutang Usaha,ASSET,1.1,DEBIT,true,true
1.1.11,Piutang Retensi,ASSET,1.1,DEBIT,true,true
1.1.12,Cadangan Kerugian Piutang,ASSET,1.1,CREDIT,true,true
1.1.20,Persediaan Barang Dagang,ASSET,1.1,DEBIT,true,true
1.1.21,Persediaan Material Proyek,ASSET,1.1,DEBIT,true,true
1.1.22,Persediaan Panel & Switchgear,ASSET,1.1,DEBIT,true,true
1.1.23,Persediaan Kabel & Accessories,ASSET,1.1,DEBIT,true,true
1.1.24,Persediaan Instrumen & Sensor,ASSET,1.1,DEBIT,true,true
1.1.30,Uang Muka Supplier,ASSET,1.1,DEBIT,true,true
1.1.31,Uang Muka Biaya Proyek,ASSET,1.1,DEBIT,true,true
1.1.40,PPN Masukan,ASSET,1.1,DEBIT,true,true
1.1.41,PPh Pasal 22 Dibayar Dimuka,ASSET,1.1,DEBIT,true,true
1.1.42,PPh Pasal 23 Dibayar Dimuka,ASSET,1.1,DEBIT,true,true
1.1.50,Biaya Dibayar Dimuka,ASSET,1.1,DEBIT,true,true
1.1.51,Asuransi Dibayar Dimuka,ASSET,1.1,DEBIT,true,true
1.2,Aset Tetap,ASSET,1,DEBIT,true,true
1.2.01,Kendaraan Operasional,ASSET,1.2,DEBIT,true,true
1.2.02,Akum. Penyusutan Kendaraan,ASSET,1.2,CREDIT,true,true
1.2.03,Komputer & Laptop,ASSET,1.2,DEBIT,true,true
1.2.04,Akum. Penyusutan Komputer,ASSET,1.2,CREDIT,true,true
1.2.05,Peralatan Workshop,ASSET,1.2,DEBIT,true,true
1.2.06,Akum. Penyusutan Peralatan Workshop,ASSET,1.2,CREDIT,true,true
1.2.07,Peralatan Ukur & Testing,ASSET,1.2,DEBIT,true,true
1.2.08,Akum. Penyusutan Peralatan Ukur,ASSET,1.2,CREDIT,true,true
1.2.09,Furniture & Inventaris Kantor,ASSET,1.2,DEBIT,true,true
1.2.10,Akum. Penyusutan Furniture,ASSET,1.2,CREDIT,true,true
1.3,Aset Lain-lain,ASSET,1,DEBIT,true,true
1.3.01,Jaminan Sewa Kantor,ASSET,1.3,DEBIT,true,true
1.3.02,Jaminan Pelaksanaan (Performance Bond),ASSET,1.3,DEBIT,true,true
1.3.03,Jaminan Tender (Bid Bond),ASSET,1.3,DEBIT,true,true
2,LIABILITAS,LIABILITY,,CREDIT,true,true
2.1,Liabilitas Jangka Pendek,LIABILITY,2,CREDIT,true,true
2.1.01,Hutang Usaha - Material,LIABILITY,2.1,CREDIT,true,true
2.1.02,Hutang Usaha - Jasa,LIABILITY,2.1,CREDIT,true,true
2.1.10,Uang Muka Pelanggan,LIABILITY,2.1,CREDIT,true,true
2.1.11,Uang Muka Proyek Pelanggan,LIABILITY,2.1,CREDIT,true,true
2.1.20,Hutang PPN Keluaran,LIABILITY,2.1,CREDIT,true,true
2.1.21,Hutang PPh Pasal 21,LIABILITY,2.1,CREDIT,true,true
2.1.22,Hutang PPh Pasal 23,LIABILITY,2.1,CREDIT,true,true
2.1.23,Hutang PPh Pasal 4 Ayat 2,LIABILITY,2.1,CREDIT,true,true
2.1.24,Hutang PPh Pasal 25,LIABILITY,2.1,CREDIT,true,true
2.1.30,Hutang Gaji,LIABILITY,2.1,CREDIT,true,true
2.1.31,Hutang BPJS Kesehatan,LIABILITY,2.1,CREDIT,true,true
2.1.32,Hutang BPJS Ketenagakerjaan,LIABILITY,2.1,CREDIT,true,true
2.1.40,Biaya Masih Harus Dibayar,LIABILITY,2.1,CREDIT,true,true
2.1.41,Hutang Retensi,LIABILITY,2.1,CREDIT,true,true
2.2,Liabilitas Jangka Panjang,LIABILITY,2,CREDIT,true,true
2.2.01,Hutang Bank Jangka Panjang,LIABILITY,2.2,CREDIT,true,true
2.2.02,Hutang Leasing Kendaraan,LIABILITY,2.2,CREDIT,true,true
3,EKUITAS,EQUITY,,CREDIT,true,true
3.1,Modal,EQUITY,3,CREDIT,true,true
3.1.01,Modal Disetor,EQUITY,3.1,CREDIT,true,true
3.1.02,Saldo Laba (Retained Earnings),EQUITY,3.1,CREDIT,true,true
3.1.03,Laba Tahun Berjalan,EQUITY,3.1,CREDIT,true,false
4,PENDAPATAN,REVENUE,,CREDIT,true,false
4.1,Pendapatan Usaha,REVENUE,4,CREDIT,true,false
4.1.01,Penjualan Material Elektrikal,REVENUE,4.1,CREDIT,true,false
4.1.02,Penjualan Material Mekanikal,REVENUE,4.1,CREDIT,true,false
4.1.03,Penjualan Panel Listrik (LVMDP/MCC/MDP),REVENUE,4.1,CREDIT,true,false
4.1.04,Penjualan Instrumen & Sensor,REVENUE,4.1,CREDIT,true,false
4.1.05,Penjualan Kabel & Accessories,REVENUE,4.1,CREDIT,true,false
4.1.10,Pendapatan Jasa Instalasi,REVENUE,4.1,CREDIT,true,false
4.1.11,Pendapatan Jasa Engineering,REVENUE,4.1,CREDIT,true,false
4.1.12,Pendapatan Jasa Komisioning,REVENUE,4.1,CREDIT,true,false
4.1.13,Pendapatan Jasa Maintenance,REVENUE,4.1,CREDIT,true,false
4.1.20,Pendapatan Proyek EPC,REVENUE,4.1,CREDIT,true,false
4.2,Pendapatan Lain-lain,REVENUE,4,CREDIT,true,false
4.2.01,Pendapatan Bunga Bank,REVENUE,4.2,CREDIT,true,false
4.2.02,Keuntungan Selisih Kurs,REVENUE,4.2,CREDIT,true,false
4.2.03,Pendapatan Lainnya,REVENUE,4.2,CREDIT,true,false
5,HARGA POKOK,EXPENSE,,DEBIT,true,false
5.1,Harga Pokok Penjualan,EXPENSE,5,DEBIT,true,false
5.1.01,HPP - Material Elektrikal,EXPENSE,5.1,DEBIT,true,false
5.1.02,HPP - Material Mekanikal,EXPENSE,5.1,DEBIT,true,false
5.1.03,HPP - Panel Listrik,EXPENSE,5.1,DEBIT,true,false
