template_name,line_order,account_code,account_hint,position,formula,description
Setoran Modal,1,1.1.03,,DEBIT,amount,Penerimaan di Bank
Setoran Modal,2,3.1.01,,CREDIT,amount,Modal disetor pemilik
Terima Uang Muka Pelanggan,1,1.1.03,,DEBIT,amount,Penerimaan uang muka di bank
Terima Uang Muka Pelanggan,2,2.1.10,,CREDIT,amount,Kewajiban uang muka pelanggan
Realisasi Pendapatan - Material,1,1.1.10,,DEBIT,revenueAmount,Piutang usaha atas penjualan material
Realisasi Pendapatan - Material,2,2.1.20,,CREDIT,ppnAmount,PPN Keluaran 11%
Realisasi Pendapatan - Material,3,4.1.01,,CREDIT,revenueAmount,Pendapatan penjualan material
Realisasi Pendapatan - Material,4,5.1.01,,DEBIT,cogsAmount,HPP - material terjual
Realisasi Pendapatan - Material,5,1.1.20,,CREDIT,cogsAmount,Persediaan barang dagang keluar
Realisasi Pendapatan - Jasa,1,1.1.10,,DEBIT,amount,Piutang usaha atas jasa
Realisasi Pendapatan - Jasa,2,2.1.20,,CREDIT,ppnAmount,PPN Keluaran 11%
Realisasi Pendapatan - Jasa,3,4.1.10,,CREDIT,amount,Pendapatan jasa instalasi/engineering
Realisasi Pendapatan - Proyek EPC,1,1.1.10,,DEBIT,revenueAmount,Piutang proyek
Realisasi Pendapatan - Proyek EPC,2,2.1.20,,CREDIT,ppnAmount,PPN Keluaran 11%
Realisasi Pendapatan - Proyek EPC,3,4.1.20,,CREDIT,revenueAmount,Pendapatan proyek EPC
Realisasi Pendapatan - Proyek EPC,4,5.2.01,,DEBIT,cogsAmount,Biaya proyek langsung
Realisasi Pendapatan - Proyek EPC,5,1.1.21,,CREDIT,cogsAmount,Persediaan material proyek keluar
Kembalikan Uang Muka ke Pendapatan,1,2.1.10,,DEBIT,amount,Mengurangi kewajiban uang muka
Kembalikan Uang Muka ke Pendapatan,2,1.1.10,,CREDIT,amount,Offset ke piutang usaha
Terima Pembayaran Piutang,1,1.1.03,,DEBIT,amount,Penerimaan di bank
Terima Pembayaran Piutang,2,1.1.10,,CREDIT,amount,Pelunasan piutang usaha
Terima Pembayaran Retensi,1,1.1.03,,DEBIT,amount,Penerimaan retensi di bank
Terima Pembayaran Retensi,2,1.1.11,,CREDIT,amount,Pelunasan piutang retensi
Pembelian Material - Tunai,1,1.1.20,,DEBIT,amount,Persediaan barang dagang masuk
Pembelian Material - Tunai,2,1.1.40,,DEBIT,ppnAmount,PPN Masukan
Pembelian Material - Tunai,3,1.1.03,,CREDIT,amount,Pembayaran dari bank
Pembelian Material - Kredit,1,1.1.20,,DEBIT,amount,Persediaan barang dagang masuk
Pembelian Material - Kredit,2,1.1.40,,DEBIT,ppnAmount,PPN Masukan
Pembelian Material - Kredit,3,2.1.01,,CREDIT,amount,Hutang usaha ke supplier
Bayar Uang Muka ke Supplier,1,1.1.30,,DEBIT,amount,Uang muka supplier
Bayar Uang Muka ke Supplier,2,1.1.03,,CREDIT,amount,Pembayaran dari bank
Realisasi Uang Muka Supplier,1,2.1.01,,DEBIT,amount,Mengurangi hutang usaha
Realisasi Uang Muka Supplier,2,1.1.30,,CREDIT,amount,Realisasi uang muka supplier
